지하철역명,단위면적 환산액(만원)
영등포시장,7.212
영종,2.609
영통,3.933
예술회관,3.254
오금,5.711
오류동,4.361
오리,4.392
오목교,4.028
오목천,2.47
오산,2.962
오산대,2.623
오이도,2.913
옥수,3.914
온수,2.869
완정,3.052
왕길,2.35
왕십리,8.21
외대앞,8.588
용답,7.109
용두,5.477
용마산,5.287
용문,2.255
용산,3.611
우장산,4.463
"운동장,송담대",3.111
운서,4.209
운양,3.822
운정,2.769
원곡,3.576
원당,3.314
원인재,3.431
원흥,5.132
월계,4.079
월곡,4.281
월곶,3.561
월드컵경기장,3.798
을지로3가,8.956
을지로4가,6.113
응봉,2.661
응암,4.31
의왕,2.825
의정부,4.258
의정부시청,2.718
의정부중앙,4.841
이대,9.278
이매,6.535
이수,5.705
이촌,2.405
이태원,3.5
인덕원,4.887
인천,2.944
인천가좌,2.528
인천논현,3.622
인천대공원,3.023
인천대입구,6.548
인천시청,3.001
인천터미널,2.79
인하대,4.404
일산,3.08
임학,2.985
작전,2.325
잠실,10.212
장기,2.528
장승배기,6.009
장암,1.635
장지,2.433
장한평,6.694
"전대,에버랜드",1.703
정릉,5.327
정발산,3.872
정부과천청사,0.834
정왕,2.919
정자,6.249
제기동,6.288
제물포,2.116
종로3가,3.865
종로5가,10.472
종합운동,8.685
주안,2.717
주엽,3.616
죽전,9.327
중계,3.476
중곡,5.353
중동,2.848
중랑,6.203
중앙,3.829
중앙보훈병원,5.793
중화,5.01
증미,4.555
증산,3.966
지석,2.271
지식정보단지,1.477
지행,2.492
진위,0.964
창동,3.998
창신,3.123
천마산,1.942
천왕,2.283
천호,7.376
철산,2.638
청계산입구,2.436
청구,4.171
청담,6.718
청량리,5.365
청명,3.11
청평,2.51
초당,4.698
초월,3.19
초지,3.528
총신대입구,5.717
춘의,3.488
충무로,7.082
충정로,3.575
캠퍼스타운,5.123
탄현,3.119
탑석,2.543
태릉입구,5.291
태평,3.879
테크노파크,5.524
퇴계원,2.397
평내호평,2.747
평촌,4.804
평택,3.386
풍무,1.531
풍산,3.952
하계,3.91
하남검단,3.672
하남시,3.868
하남풍,4.795
학동,6.954
한남,2.942
한대앞,3.562
한성대입구,3.43
한성백제,8.667
한양대입구,5.57
한티,5.487
합동청사,0.585
합정,4.666
행당,3.018
행신,3.607
혜화,3.755
호구포,3.469
홍대입구,6.66
홍제,3.317
화계,4.455
화곡,4.667
화랑대,3.367
화서,3.21
화정,3.481
회기,6.799
회룡,2.669
회현,3.89
효자,2.595
효창공원앞,7.015
흑석,3.769
흥선,2.291
