지하철역명,rent,lease
상수,3.035,4.858
상왕십리,3.534,5.714
상월곡,2.759,4.291
상일동,2.858,3.036
상현,2.501,6.432
새말,1.378,2.209
새절,3.281,4.62
샛강,4.14,0
서강대,3.218,3.915
서구청,1.503,2.346
서대문,3.4,4.622
서동탄,2.235,2.421
서부여성회관,1.276,1.97
서빙고,3.267,3.891
서울,3.246,4.604
서울대입구,4.984,7.395
서울숲,3.216,4.31
서정리,2.646,3.382
서초,5.86,7.004
서현,3.18,5.395
석계,3.064,5.316
석남,1.209,2.074
석바위시장,1.733,2.375
석수,2.408,3.168
석천사거리,2.068,3.374
석촌,3.402,6.214
석촌고분,3.614,5.411
선릉,4.081,6.578
선바위,0.97,
선부,1.621,3.167
선유도,3.755,6.645
선정릉,3.918,6.549
선학,1.158,2.156
성균관대,2.298,3.346
성복,3.36,4.851
성북,2.27,3.462
성수,3.226,6.006
성신여대입구,5.945,5.43
세류,1.887,2.726
세마,1.551,4.97
센트럴파크,2.311,5.454
소래포구,1.963,2.93
소사,1.725,3.195
소사역,1.911,3.043
소새울,1.707,3.221
소요산,0.774,0.789
솔밭공원,3.258,3.281
솔샘,1.366,1.797
송내,1.93,3.635
송도,1.573,2.716
송산,2.022,2.711
송정,2.976,4.876
송탄,1.832,3.014
송파,4.302,5.831
송파나루,3.836,6.322
수내,2.908,4.956
수락산,2.135,3.681
수리산,2.055,3.451
수색역,3.941,7.719
수서,3.744,4.984
수원,2.365,4.025
수원시청,3.24,4.759
수유,4.264,8.695
수지구청,2.726,4.123
수진,3.196,5.546
숙대입구,2.907,4.771
숭실대입구,3.902,5.783
숭의,1.477,2.191
시민공원,1.832,3.081
시청,9.5,0
"시청,용인대",1.637,3.227
신갈,1.417,2.646
신금호,2.287,3.075
신길,4.519,8.811
신길온천,1.754,2.566
신내,1.52,2.178
신논현,4.791,8.698
신답,3.597,5.376
신당,4.144,7.213
신대방,3.807,6.918
신대방삼거리,3.882,6.055
신도림,3.477,5.151
신둔도예촌,1.445,2.597
신림,4.505,8.374
신목동,3.684,5.335
,0,4.509
신방화,2.605,5.14
신사,4.069,7.078
신설동,3.921,8.07
신연,1.708,3.213
신용산,3.718,8.078
신이문,2.449,6.352
신정,3.684,4.681
신정네거리,2.566,4.956
신중동,2.377,4.383
신천,3.939,5.42
신촌,4.796,7.934
신포,1.321,1.354
신풍,2.135,3.601
신흥,2.386,2.716
쌍문,2.911,4.067
아시아드경기장,1.317,2.573
아신,2.017,1.779
아차산,3.902,6.312
아현,4.276,3.967
안국,2.622,2.54
안산,2.189,3.725
안암,2.616,5.9
안양,2.922,4.853
암사,3.724,6.431
압구정,4.89,7.772
압구정로데오,0,3.382
애오개,3.341,6.304
야탑,2.822,4.981
약수,3.793,5.863
양수,2.026,2.427
양원,2.087,2.614
양재,4.53,7.273
양재시민의숲,3.337,6.663
양천구청,1.716,0.928
양천향교,3.543,6.985
양촌,2.005,4.27
양평,3.448,6.1
어룡,1.418,2.659
어린이대공원,5.509,8.941
어정,2.341,4.221
언주,4.322,7.493
여의나루,1.19,0
여주,1.214,2.348
역곡,1.939,3.017
역삼,4.987,8.717
역촌,3.068,4.542
연수,1.644,2.864
연신내,3.579,6.435
염창,4.388,5.721
영등포,4.49,8.022
영등포구청,4.615,6.505
영등포시장,4.157,7.212
영종,1.004,2.609
영통,2.325,3.933
예술회관,1.899,3.254
오금,3.653,5.711
오류동,2.945,4.361
오리,2.587,4.392
오목교,2.119,4.028
오목천,1.41,2.47
오산,2.041,2.962
오산대,1.748,2.623
오이도,1.719,2.913
옥수,1.816,3.914
온수,1.846,2.869
완정,1.713,3.052
왕길,1.436,2.35
왕십리,4.363,8.21
외대앞,3.788,8.588
용답,4.111,7.109
용두,3.413,5.477
용마산,3.62,5.287
용문,1.346,2.255
용산,3.605,3.611
우장산,3.151,4.463
"운동장,송담대",2.126,3.111
운서,1.853,4.209
운양,1.976,3.822
운정,1.542,2.769
원곡,1.491,3.576
원당,2.094,3.314
원시,1.413,0
원인재,1.755,3.431
원흥,1.999,5.132
월계,1.958,4.079
월곡,2.613,4.281
월곶,2.042,3.561
월드컵경기장,2.576,3.798
을지로3가,5.09,8.956
을지로4가,3.424,6.113
응봉,3.734,2.661
응암,2.832,4.31
의왕,1.73,2.825
의정부,2.465,4.258
의정부시청,2.36,2.718
의정부중앙,2.432,4.841
이대,4.643,9.278
이매,3.383,6.535
이수,4.25,5.705
이천,2.354,0
이촌,0.715,2.405
이태원,2.539,3.5
인덕원,3.269,4.887
인천,1.586,2.944
인천가좌,1.546,2.528
인천논현,1.404,3.622
인천대공원,1.05,3.023
인천대입구,2.89,6.548
인천시청,1.755,3.001
인천터미널,1.491,2.79
인하대,2.642,4.404
일산,1.954,3.08
일원,3.878,0
임학,1.528,2.985
작전,1.327,2.325
잠실,4.601,10.212
잠실나루,4.274,0
잠원,3.113,0
장기,1.501,2.528
장승배기,3.916,6.009
장암,1.826,1.635
장지,2.518,2.433
장한평,3.355,6.694
"전대,에버랜드",1.223,1.703
정릉,2.204,5.327
정발산,1.938,3.872
정부과천청사,1.755,0.834
정왕,3.174,2.919
정자,3.246,6.249
제기동,3.218,6.288
제물포,1.472,2.116
종각,3.088,0
종로3가,4.66,3.865
종로5가,4.487,10.472
종합운동,4.689,8.685
주안,1.774,2.717
주엽,2.098,3.616
죽전,2.549,9.327
중계,2.014,3.476
중곡,3.624,5.353
중동,1.805,2.848
중랑,3.752,6.203
중앙,2.246,3.829
중앙보훈병원,3.555,5.793
중화,3.184,5.01
증미,2.864,4.555
증산,2.865,3.966
지석,0.99,2.271
지식정보단지,2.787,1.477
지축,1.9,2.492
지행,1.219,0
진위,1.173,0.964
창동,2.188,3.998
창신,2.433,3.123
천마산,1.228,1.942
천왕,1.654,2.283
천호,3.64,7.376
철산,2.293,2.638
청계산입구,2.3,2.436
청구,2.696,4.171
청담,4.879,6.718
청량리,3.39,5.365
청명,2.275,3.11
청평,1.141,2.51
초당,1.35,4.698
초월,2.053,3.19
초지,2.956,3.528
총신대입구,3.134,5.717
춘의,2.111,3.488
충무로,3.911,7.082
충정로,3.728,3.575
캠퍼스타운,2.493,5.123
탄현,1.989,3.119
탑석,1.452,2.543
태릉입구,4.133,5.291
태평,2.187,3.879
테크노파크,2.227,5.524
퇴계원,1.562,2.397
판교,2.954,0
평내호평,1.405,2.747
평촌,2.575,4.804
평택,2.144,3.386
풍무,0.629,1.531
풍산,1.777,3.952
하계,2.18,3.91
하남검단,2.764,3.672
하남시,2.264,3.868
하남풍,1.815,4.795
학동,4.211,6.954
한강진,7.722,0
한남,2.778,2.942
한대앞,1.76,3.562
한성대입구,3.148,3.43
한성백제,4.398,8.667
한양대입구,5.572,5.57
한티,3.726,5.487
합동청사,0.84,0.585
합정,3.844,4.666
행당,2.26,3.018
행신,2.011,3.607
혜화,2.805,3.755
호구포,1.487,3.469
홍대입구,3.718,6.66
홍제,2.233,3.317
화계,2.7,4.455
화곡,3.406,4.667
화랑대,2.027,3.367
화서,1.958,3.21
화정,2.021,3.481
회기,4.217,6.799
회룡,2.076,2.669
회현,4.431,3.89
효자,1.854,2.595
효창공원앞,3.573,7.015
흑석,2.438,3.769
흥선,1.398,2.291
