호선,역명,역명,시간(분)
6호선,연신내,구산,1:20
6호선,구산,응암,2:00
6호선,응암,새절,1:20
6호선,새절,증산,1:20
6호선,증산,디지털미디어시티,1:30
6호선,디지털미디어시티,월드컵경기장,1:10
6호선,월드컵경기장,마포구청,1:10
6호선,마포구청,망원,1:20
6호선,망원,합정,1:20
6호선,합정,상수,1:10
6호선,상수,광흥창,1:10
6호선,광흥창,대흥,1:30
6호선,대흥,공덕,1:20
6호선,공덕,효창공원앞,1:20
6호선,효창공원앞,삼각지,1:30
6호선,삼각지,녹사평,1:40
6호선,녹사평,이태원,1:10
6호선,이태원,한강진,1:30
6호선,한강진,버티고개,1:30
6호선,버티고개,약수,1:10
6호선,약수,청구,1:10
6호선,청구,신당,1:10
6호선,신당,동묘앞,1:00
6호선,동묘앞,창신,1:20
6호선,창신,보문,1:10
6호선,보문,안암,1:10
6호선,안암,고려대,1:10
6호선,고려대,월곡,1:40
6호선,월곡,상월곡,1:10
6호선,상월곡,돌곶이,1:10
6호선,돌곶이,석계,1:20
6호선,석계,태릉입구,1:10
6호선,태릉입구,화랑대,1:20
6호선,화랑대,봉화산,1:20
6호선,봉화산,신내,4:30
7호선,장암,도봉산,4:30
7호선,도봉산,수락산,2:20
7호선,수락산,마들,2:00
7호선,마들,노원,1:30
7호선,노원,중계,1:20
7호선,중계,하계,1:10
7호선,하계,공릉,1:30
7호선,공릉,태릉입구,1:00
7호선,태릉입구,먹골,1:10
7호선,먹골,중화,1:20
7호선,중화,상봉,1:50
7호선,상봉,면목,1:10
7호선,면목,사가정,1:10
7호선,사가정,용마산,1:10
7호선,용마산,중곡,1:20
7호선,중곡,군자,1:20
7호선,군자,어린이대공원,1:20
7호선,어린이대공원,건대입구,1:20
7호선,건대입구,뚝섬유원지,1:30
7호선,뚝섬유원지,청담,2:30
7호선,청담,강남구청,1:30
7호선,강남구청,학동,1:10
7호선,학동,논현,1:20
7호선,논현,반포,1:10
7호선,반포,고속터미널,1:30
7호선,고속터미널,내방,2:30
7호선,내방,총신대입구,1:30
7호선,총신대입구,남성,1:20
7호선,남성,숭실대입구,2:30
7호선,숭실대입구,상도,1:10
7호선,상도,장승배기,1:30
7호선,장승배기,신대방삼거리,1:50
7호선,신대방삼거리,보라매,1:10
7호선,보라매,신풍,1:20
7호선,신풍,대림,2:00
7호선,대림,남구로,1:30
7호선,남구로,가산디지털단지,1:20
7호선,가산디지털단지,철산,2:00
7호선,철산,광명사거리,1:50
7호선,광명사거리,천왕,2:00
7호선,천왕,온수,2:20
8호선,모란,수진,1:30
8호선,수진,신흥,1:10
8호선,신흥,단대오거리,1:10
8호선,단대오거리,남한산성입구,1:10
8호선,남한산성입구,산성,2:10
8호선,산성,남위례,1:40
8호선,남위례,복정,1:50
8호선,복정,장지,1:10
8호선,장지,문정,1:10
8호선,문정,가락시장,1:10
8호선,가락시장,송파,1:10
8호선,송파,석촌,1:10
8호선,석촌,잠실,1:50
8호선,잠실,몽촌토성,1:10
8호선,몽촌토성,강동구청,2:00
8호선,강동구청,천호,1:20
8호선,천호,암사,1:30
