지하철역명,단위면적 환산액(만원)
영등포,4.49
영등포구청,4.615
영등포시장,4.157
영종,1.004
영통,2.325
예술회관,1.899
오금,3.653
오류동,2.945
오리,2.587
오목교,2.119
오목천,1.41
오산,2.041
오산대,1.748
오이도,1.719
옥수,1.816
온수,1.846
완정,1.713
왕길,1.436
왕십리,4.363
외대앞,3.788
용답,4.111
용두,3.413
용마산,3.62
용문,1.346
용산,3.605
우장산,3.151
"운동장,송담대",2.126
운서,1.853
운양,1.976
운정,1.542
원곡,1.491
원당,2.094
원시,1.413
원인재,1.755
원흥,1.999
월계,1.958
월곡,2.613
월곶,2.042
월드컵경기장,2.576
을지로3가,5.09
을지로4가,3.424
응봉,3.734
응암,2.832
의왕,1.73
의정부,2.465
의정부시청,2.36
의정부중앙,2.432
이대,4.643
이매,3.383
이수,4.25
이천,2.354
이촌,0.715
이태원,2.539
인덕원,3.269
인천,1.586
인천가좌,1.546
인천논현,1.404
인천대공원,1.05
인천대입구,2.89
인천시청,1.755
인천터미널,1.491
인하대,2.642
일산,1.954
일원,3.878
임학,1.528
작전,1.327
잠실,4.601
잠실나루,4.274
잠원,3.113
장기,1.501
장승배기,3.916
장암,1.826
장지,2.518
장한평,3.355
"전대,에버랜드",1.223
정릉,2.204
정발산,1.938
정부과천청사,1.755
정왕,3.174
정자,3.246
제기동,3.218
제물포,1.472
종각,3.088
종로3가,4.66
종로5가,4.487
종합운동,4.689
주안,1.774
주엽,2.098
죽전,2.549
중계,2.014
중곡,3.624
중동,1.805
중랑,3.752
중앙,2.246
중앙보훈병원,3.555
중화,3.184
증미,2.864
증산,2.865
지석,0.99
지식정보단지,2.787
지축,1.9
지행,1.219
진위,1.173
창동,2.188
창신,2.433
천마산,1.228
천왕,1.654
천호,3.64
철산,2.293
청계산입구,2.3
청구,2.696
청담,4.879
청량리,3.39
청명,2.275
청평,1.141
초당,1.35
초월,2.053
초지,2.956
총신대입구,3.134
춘의,2.111
충무로,3.911
충정로,3.728
캠퍼스타운,2.493
탄현,1.989
탑석,1.452
태릉입구,4.133
태평,2.187
테크노파크,2.227
퇴계원,1.562
판교,2.954
평내호평,1.405
평촌,2.575
평택,2.144
풍무,0.629
풍산,1.777
하계,2.18
하남검단,2.764
하남시,2.264
하남풍,1.815
학동,4.211
한강진,7.722
한남,2.778
한대앞,1.76
한성대입구,3.148
한성백제,4.398
한양대입구,5.572
한티,3.726
합동청사,0.84
합정,3.844
행당,2.26
행신,2.011
혜화,2.805
호구포,1.487
홍대입구,3.718
홍제,2.233
화계,2.7
화곡,3.406
화랑대,2.027
화서,1.958
화정,2.021
회기,4.217
회룡,2.076
회현,4.431
효자,1.854
효창공원앞,3.573
흑석,2.438
흥선,1.398
