연번,조사일자,호선,역번호,역명,구분,출근,퇴근,평일평균,주말 오전,주말 오후,주말 밤
529,평일,7,2759,삼산체육관,상선,48.05,28.12,24.58,23.05,28.74,11.65
530,평일,7,2759,삼산체육관,하선,15.52,52.07,24.91,11.82,25.49,23.28
531,평일,7,2760,굴포천,상선,43.7,27.7,23.25,21.27,27.18,11.49
532,평일,7,2760,굴포천,하선,15.7,43.98,21.96,11.27,22.89,19.95
533,평일,7,2761,부평구청,상선,37.02,28.5,21.29,18.55,24.52,10.64
534,평일,7,2761,부평구청,하선,7.37,19.02,10.09,5.67,10.98,10.29
568,평일,8,2827,모란,하선,0,0,0,0,0,0
567,평일,8,2827,모란,상선,4.82,9.6,6.53,2.83,5.71,4.48
566,평일,8,2826,수진,하선,11.17,6.3,6.82,5.97,5.9,2.08
565,평일,8,2826,수진,상선,8.07,9.45,7.26,4.02,6.45,4.39
564,평일,8,2825,신흥,하선,10.58,8.32,7.22,5.42,6.3,3.23
563,평일,8,2825,신흥,상선,11.02,9.75,8.23,5.14,7.65,4.64
562,평일,8,2824,단대오거리,하선,10.95,11.15,8.49,5.64,7.7,4.61
561,평일,8,2824,단대오거리,상선,19.7,12.62,11.33,8.57,10.35,4.8
560,평일,8,2823,남한산성입구,하선,11.95,18.82,11.6,5.75,10.08,8.39
559,평일,8,2823,남한산성입구,상선,33.47,15.08,15.42,12.89,13.68,4.61
558,평일,8,2822,산성,하선,12.57,28.3,15.14,5.38,12.06,12.9
557,평일,8,2822,산성,상선,41.22,15.98,17.65,14.57,16.13,5
,,,,,,,,,,,
,,,,,,,,,,,
556,평일,8,2821,복정,하선,12.97,34.23,17.45,6.21,13.75,15.27
555,평일,8,2821,복정,상선,63.18,37.75,31.57,21.35,29.2,12.02
554,평일,8,2820,장지,하선,30.88,55.92,30.63,12.86,24.35,23.8
553,평일,8,2820,장지,상선,73.57,46.65,37.78,24.88,34.91,15.75
552,평일,8,2819,문정,하선,37.32,63.9,36.42,16.35,29.53,27.75
551,평일,8,2819,문정,상선,68.93,72.78,45.61,26.35,40.22,18.43
550,평일,8,2818,가락시장,하선,68.72,64.35,44.56,19.49,34.23,30.07
549,평일,8,2818,가락시장,상선,65.77,80.37,48.05,26.57,43.98,21.19
548,평일,8,2817,송파,하선,75.93,65.55,47.96,22.5,37.63,32.41
547,평일,8,2817,송파,상선,70.6,81.93,49.83,27.78,45.8,21.51
546,평일,8,2816,석촌,하선,75.45,70.5,49.72,22.86,38.98,33.95
545,평일,8,2816,석촌,상선,60.55,76.78,45.59,25.14,42.92,21.53
544,평일,8,2815,잠실,하선,72.23,62.7,46.04,22.21,37.43,31.1
543,평일,8,2815,잠실,상선,25.37,81.42,38.74,14.56,30.43,27.22
542,평일,8,2814,몽촌토성,하선,89.18,35.87,38.8,25.53,33.38,14.73
541,평일,8,2814,몽촌토성,상선,22.42,79.83,37.22,13.67,28.8,26.49
540,평일,8,2813,강동구청,하선,89.1,33.1,37.62,25.15,31.64,13.93
539,평일,8,2813,강동구청,상선,20.4,74.08,34.41,13.33,27.03,24.46
538,평일,8,2812,천호,하선,83.72,29.68,34.95,23.05,29.99,13.66
537,평일,8,2812,천호,상선,5.75,24.98,11.98,3.58,9.25,9.23
536,평일,8,2811,암사,하선,32.5,8.25,12.7,9.75,10.23,3.36
535,평일,8,2811,암사,상선,0,0,0,0,0,0
