연번,조사일자,호선,역번호,역명,구분,출근,퇴근,평일평균,주말 오전,주말 오후,주말 밤
238,평일,4,432,총신대입구,하선,21.13,39.43,23.9,14.71,22.48,21.68
239,평일,4,433,사당,상선,46.67,32.87,29.43,22.26,30.71,21.64
240,평일,4,433,사당,하선,16.62,31.77,19.06,13.52,16.15,16.74
241,평일,4,434,남태령,상선,83.18,55.42,45.67,35.52,47.88,29.41
242,평일,4,434,남태령,하선,32.52,61.73,33.84,24.47,29.01,30.3
243,평일,5,2511,방화,상선,0,0,0,0,0,0
244,평일,5,2511,방화,하선,4.45,1.8,2.41,1.98,2.32,0.7
245,평일,5,2512,개화산,상선,1.97,3.87,2.5,1.19,2.1,1.79
246,평일,5,2512,개화산,하선,7.78,3.63,4.3,3.38,4.09,1.3
247,평일,5,2513,김포공항,상선,3.63,6.82,4.42,2.18,3.63,3.09
248,평일,5,2513,김포공항,하선,14,10.93,9.23,5.47,9.23,5.97
249,평일,5,2514,송정,상선,9.47,14.23,9.89,6.79,9.52,5.22
250,평일,5,2514,송정,하선,16.57,12.18,10.68,6.62,10.55,6.35
251,평일,5,2515,마곡,상선,10.57,16.37,11.34,7.47,10.67,6.33
252,평일,5,2515,마곡,하선,18.57,16.37,12.94,7.28,11.91,7.18
253,평일,5,2516,발산,상선,14.85,18.48,13.5,8.35,11.93,7.13
254,평일,5,2516,발산,하선,19.28,25.25,17.18,8.13,15.46,10.21
255,평일,5,2517,우장산,상선,25.1,22.08,17.51,11.15,16,8.7
256,평일,5,2517,우장산,하선,26.5,26.03,19.86,10.45,17.7,10.43
257,평일,5,2518,화곡,상선,26.78,28.3,20.35,11.63,17.71,11.18
258,평일,5,2518,화곡,하선,43.1,26.48,24.82,15.99,22.2,10.85
259,평일,5,2519,까치산,상선,25.67,42.92,25.46,11.75,21.43,16.83
260,평일,5,2519,까치산,하선,52.13,20.57,24.54,18.81,22.46,8.92
261,평일,5,2520,신정,상선,17.13,48.72,25.65,9.43,21.2,19.65
262,평일,5,2520,신정,하선,61.87,20.5,26.96,21.68,24.43,8.87
263,평일,5,2521,목동,상선,15.72,54.07,27.58,9.37,22.61,22.1
264,평일,5,2521,목동,하선,69.4,21.85,29.95,23.8,27.43,9.88
265,평일,5,2522,오목교,상선,16.25,64.03,31.33,10.18,25.43,24.8
266,평일,5,2522,오목교,하선,72.22,26.2,32.79,24.28,30.12,12.27
267,평일,5,2523,양평,상선,20.5,71.22,35.06,12.36,28.27,26.16
268,평일,5,2523,양평,하선,75.58,28.02,34.14,25.04,30.97,12.57
269,평일,5,2524,영등포구청,상선,21.75,72.3,36.03,12.47,28.94,26.95
270,평일,5,2524,영등포구청,하선,58.97,19.37,25.71,19.43,23.52,9.02
271,평일,5,2525,영등포시장,상선,14.95,56.17,27.63,9.07,22.81,20.53
272,평일,5,2525,영등포시장,하선,59.08,20.07,25.81,18.96,23.7,9.38
273,평일,5,2526,신길,상선,15.88,56.45,28.05,9.58,23.08,20.28
274,평일,5,2526,신길,하선,70.05,21.7,28.66,20.48,26.37,9.73
275,평일,5,2527,여의도,상선,16.57,64.82,30.75,9.67,25.04,21.91
276,평일,5,2527,여의도,하선,52.75,37.28,29.37,16.8,26.24,11.78
277,평일,5,2528,여의나루,상선,33.65,51.08,29.72,10.77,24.65,18.18
278,평일,5,2528,여의나루,하선,50.32,40.73,29.82,15.73,26.13,13.55
279,평일,5,2529,마포,상선,37.63,49.17,30.34,12.32,26.58,16.63
280,평일,5,2529,마포,하선,47.18,41.5,29.6,15.47,26.09,13.43
281,평일,5,2530,공덕,상선,38.82,47.67,30.04,12.24,26.49,16.48
282,평일,5,2530,공덕,하선,47.88,35.4,28.02,15.32,24.5,11.54
283,평일,5,2531,애오개,상선,32.35,48.4,28.42,11.01,24.37,15.99
284,평일,5,2531,애오개,하선,47.42,35.2,27.68,14.87,24.57,11.39
285,평일,5,2532,충정로,상선,31.5,47.85,28.34,11.05,24.23,15.83
286,평일,5,2532,충정로,하선,45.9,33.97,26.82,14.57,24.06,11.03
287,평일,5,2533,서대문,상선,31.13,45.42,27.44,10.73,23.69,15.58
288,평일,5,2533,서대문,하선,37.27,39.28,26.89,14.38,24.55,11.18
289,평일,5,2534,광화문,상선,37.93,38.57,26.84,11.05,23.37,15.51
290,평일,5,2534,광화문,하선,22.15,49.27,27.3,12.11,23.73,14.55
291,평일,5,2535,종로3가,상선,50.35,27.62,25.88,13.29,24.93,12.71
292,평일,5,2535,종로3가,하선,17.5,46.68,24.88,9.75,21.23,16.46
293,평일,5,2536,을지로4가,상선,50.12,22.47,23.9,14.67,23.71,10.19
294,평일,5,2536,을지로4가,하선,15.08,48.18,24.24,9.17,20.35,16.08
295,평일,5,2537,동대문역사문화공원,상선,50.68,19.12,22.86,14.77,22.42,9.41
296,평일,5,2537,동대문역사문화공원,하선,15.18,48.45,25.32,9.71,21.35,18.04
297,평일,5,2538,청구,상선,50.3,19.37,23.39,16.37,23.41,9.19
298,평일,5,2538,청구,하선,16.93,50.8,27.34,11.45,23.69,19.84
299,평일,5,2539,신금호,상선,52.78,21.77,25.36,17.8,26.25,10.77
300,평일,5,2539,신금호,하선,18.02,48.92,27.02,11.89,23.49,19.42
301,평일,5,2540,행당,상선,50.55,22.55,25.16,17.37,26.03,11.15
302,평일,5,2540,행당,하선,20.18,47.35,27.06,12.32,23.49,19.13
303,평일,5,2541,왕십리,상선,47.55,23.23,24.91,16.9,25.48,11.41
304,평일,5,2541,왕십리,하선,20.78,60.4,32.98,13.52,28.41,25.78
305,평일,5,2542,마장,상선,64.2,26.88,31.3,23.03,32.93,12.9
306,평일,5,2542,마장,하선,20.67,60.3,32.6,13.25,28,25.38
307,평일,5,2543,답십리,상선,62.97,26.87,30.83,22.68,32.49,12.97
308,평일,5,2543,답십리,하선,22.48,56.27,31.79,14.37,27.64,24.28
309,평일,5,2544,장한평,상선,58.15,27.02,29.69,21.44,31.53,13.32
310,평일,5,2544,장한평,하선,23.37,55.6,31.63,14.86,27.75,23.57
311,평일,5,2545,군자,상선,56.42,28.03,29.59,21.35,31.05,13.76
312,평일,5,2545,군자,하선,37.75,63.2,38.95,20.88,34.28,27.8
313,평일,5,2546,아차산,상선,63.18,40.5,37.04,25.51,38,18.58
314,평일,5,2546,아차산,하선,38.93,58.95,37.92,20.5,33.11,26.21
315,평일,5,2547,광나루,상선,58.28,40.03,35.44,24.17,35.8,17.85
316,평일,5,2547,광나루,하선,39.02,56.92,36.94,19.58,33.23,25.61
317,평일,5,2548,천호,상선,55.95,40.03,34.71,24.02,34.3,17.42
318,평일,5,2548,천호,하선,27.47,59.4,34.75,16.23,29.88,25.32
319,평일,5,2549,강동,상선,57.77,31.45,32,23.45,33.2,13.83
320,평일,5,2549,강동,하선,12.68,40.22,21.65,9.01,18.46,18.32
321,평일,5,2550,길동,상선,88.47,36.03,44.26,34.56,43.92,17.23
322,평일,5,2550,길동,하선,27.97,72.65,41.62,17.47,35.67,33.63
323,평일,5,2551,굽은다리,상선,83.55,33.78,41.96,32.25,40.82,16.04
324,평일,5,2551,굽은다리,하선,26.17,64.77,37.45,16.25,31.88,29.56
325,평일,5,2552,명일,상선,74.97,31.65,37.82,28.11,36.38,14.82
326,평일,5,2552,명일,하선,24.65,55.6,33.46,14.8,28.81,26.45
327,평일,5,2553,고덕,상선,64.63,29.02,33.86,25.08,32.88,14.03
328,평일,5,2553,고덕,하선,19.33,48.02,28.22,12.65,25.14,23.84
329,평일,5,2554,상일동,상선,59,24.62,28.9,22.77,28.12,12.03
330,평일,5,2554,상일동,하선,16.05,31.83,19.89,10.49,18.75,16.95
331,평일,15,2555,둔촌동,상선,42.65,50.52,34.63,19.75,32.71,17.72
332,평일,15,2555,둔촌동,하선,43.02,35.47,28.75,18.19,27.2,17.59
333,평일,15,2556,올림픽공원(한국체대),상선,39,49.65,33.03,17.92,30.38,16.89
334,평일,15,2556,올림픽공원(한국체대),하선,33.92,37.28,26.81,15.58,22.96,17.56
335,평일,15,2557,방이,상선,41.02,41.12,29.78,18.01,27.21,12.32
336,평일,15,2557,방이,하선,31,31.8,23.93,13.65,19.75,16.34
337,평일,15,2558,오금,상선,37.05,38.68,26.73,16.52,23.84,10.48
338,평일,15,2558,오금,하선,13.83,32.23,19.69,9.55,15.58,15.55
339,평일,15,2559,개롱,상선,40.98,18.42,20.67,16.4,19.21,5.75
340,평일,15,2559,개롱,하선,9.18,23.07,14.1,7,11.06,11.1
341,평일,15,2560,거여,상선,30.92,11.73,14.8,12.2,13.93,3.97
342,평일,15,2560,거여,하선,3.45,10.23,6.24,3.45,5.14,5.28
343,평일,15,2561,마천,상선,13.88,4.02,6.21,5.72,6.14,1.72
344,평일,15,2561,마천,하선,0,0,0,0,0,0
345,평일,5,2562,강일,상선,56.47,22.07,24.47,17.86,27.05,10.18
346,평일,5,2562,강일,하선,16.45,32.25,19.05,11.09,22.12,15.43
347,평일,5,2563,미사,상선,48.35,20.23,21.75,16.21,24.48,9.85
348,평일,5,2563,미사,하선,11.92,14.2,10.35,7.07,13.46,8.07
349,평일,5,2564,하남풍산,상선,21.02,12.95,11.68,8.92,14.88,5.95
350,평일,5,2564,하남풍산,하선,6.55,11.77,7.85,5.74,11.12,6.58
351,평일,5,2565,하남시청,상선,17.07,8.38,9.03,7.37,12.64,4.89
352,평일,5,2565,하남시청,하선,3.43,5.18,3.78,3.78,5.85,2.98
353,평일,5,2566,하남검단산,상선,8.1,3.87,4.46,3.42,7.23,2.79
354,평일,5,2566,하남검단산,하선,0,0,0,0,0,0
355,평일,6,2611,응암,상선,14.27,25.9,15.61,11.11,15.93,12.01
356,평일,6,2611,응암,하선,37.42,15.35,18.15,15.19,20.82,9.08
357,평일,6,2612,역촌,상선,0,0,0,0,0,0
358,평일,6,2612,역촌,하선,16.33,23.18,15.08,11.4,15.86,10.85
359,평일,6,2613,불광,상선,0,0,0,0,0,0
360,평일,6,2613,불광,하선,6.75,15.1,8.8,5,9.97,7.49
361,평일,6,2614,독바위,상선,0,0,0,0,0,0
362,평일,6,2614,독바위,하선,8.82,13.18,8.55,5.06,10.06,6.58
363,평일,6,2615,연신내,상선,0,0,0,0,0,0
364,평일,6,2615,연신내,하선,21.18,17.43,14.29,9.38,17.05,9.4
365,평일,6,2616,구산,상선,0,0,0,0,0,0
366,평일,6,2616,구산,하선,26.12,15.15,15.08,11.31,17.99,8.6
367,평일,6,2617,새절,상선,11.2,36.85,18.98,10.35,18.18,18.06
368,평일,6,2617,새절,하선,44.93,16.48,20.62,17.98,23.4,9.54
369,평일,6,2618,증산,상선,10.75,46.87,22.07,10.37,20.5,21.95
370,평일,6,2618,증산,하선,52.12,17.55,22.97,20.87,25.65,10.19
371,평일,6,2619,디지털미디어시티,상선,10.72,54.1,24.74,10.64,22.68,25.27
372,평일,6,2619,디지털미디어시티,하선,51.23,22.12,23.25,19.23,25.23,9.74
373,평일,6,2620,월드컵경기장,상선,14.32,50.9,24.8,10.06,21.73,23.65
374,평일,6,2620,월드컵경기장,하선,51.92,22.65,23.36,18.99,25.48,10.07
375,평일,6,2621,마포구청,상선,14.48,51.03,25.05,10.58,21.61,23.69
376,평일,6,2621,마포구청,하선,57.55,26.02,26.39,21.23,28.76,10.79
377,평일,6,2622,망원,상선,16.23,57.12,28.04,11.02,23.71,26.7
378,평일,6,2622,망원,하선,60.85,28.7,28.65,22.68,31.54,14.12
379,평일,6,2623,합정,상선,17.87,61.67,30.77,12.43,29.38,28.18
380,평일,6,2623,합정,하선,33.13,19.23,17.66,13.09,20.64,10.91
381,평일,6,2624,상수,상선,12.18,35.23,18.75,7.68,19.76,17.27
382,평일,6,2624,상수,하선,32.22,19.18,17.53,12.78,19.35,12.24
383,평일,6,2625,광흥창,상선,13.17,36.25,19.15,8.02,21.82,16.83
384,평일,6,2625,광흥창,하선,30.92,19.77,17.37,12.56,19.59,11.78
385,평일,6,2626,대흥,상선,13.02,35.02,18.68,7.72,21.36,16.75
386,평일,6,2626,대흥,하선,31.32,20.93,17.96,13.07,20.23,12.24
387,평일,6,2627,공덕,상선,14.47,35.93,19.31,8.15,22.15,17.29
388,평일,6,2627,공덕,하선,27.78,32.37,20.62,13.78,24.78,15.45
389,평일,6,2628,효창공원앞,상선,24.8,35.63,21.54,10.48,25.7,19.97
390,평일,6,2628,효창공원앞,하선,28.28,33.42,20.96,14.36,25.55,15.64
391,평일,6,2629,삼각지,상선,25.68,35.03,21.63,10.53,25.75,20.14
392,평일,6,2629,삼각지,하선,20.97,30.37,17.93,12.03,24.76,15.58
393,평일,6,2630,녹사평,상선,23.03,26.78,18.11,9.93,23.3,20.15
394,평일,6,2630,녹사평,하선,19.62,30.1,17.54,11.46,23.62,15.72
395,평일,6,2631,이태원,상선,23.3,25.82,17.69,9.87,23.1,18.68
396,평일,6,2631,이태원,하선,18.53,29.6,17.44,11.55,21.58,15.96
397,평일,6,2632,한강진,상선,24.28,25.37,17.56,9.93,24.4,17.11
398,평일,6,2632,한강진,하선,14.93,30.65,17.04,9.94,19.14,18.7
399,평일,6,2633,버티고개,상선,27.28,23.23,17.46,11.45,26.6,13.57
400,평일,6,2633,버티고개,하선,15.17,30.38,17.08,10.07,19.16,18.9
401,평일,6,2634,약수,상선,26.72,23.37,17.49,11.47,26.8,13.67
402,평일,6,2634,약수,하선,13.9,41.42,20.8,10.65,21.51,21.55
403,평일,6,2635,청구,상선,40.1,21.72,20.73,15.92,28.7,12.83
404,평일,6,2635,청구,하선,13.88,42.37,20.88,10.77,21.36,19.93
405,평일,6,2636,신당,상선,41.8,20.92,20.88,16,27.86,11.93
406,평일,6,2636,신당,하선,14.65,52.53,25.04,11.93,24.15,24.33
407,평일,6,2637,동묘앞,상선,53.27,23.6,24.87,19.81,32.39,12.48
408,평일,6,2637,동묘앞,하선,13.97,57.87,26.31,10.97,23.64,25.61
409,평일,6,2638,창신,상선,58.17,22.9,25.89,22,30.7,11.75
410,평일,6,2638,창신,하선,13.53,55.83,25.56,10.79,22.96,25.44
411,평일,6,2639,보문,상선,55.87,22.43,25.14,21.07,30.04,11.65
412,평일,6,2639,보문,하선,13.87,51.22,24.07,10.47,22.3,22.32
413,평일,6,2640,안암,상선,50.23,21.6,23.48,19.25,27.23,10.99
414,평일,6,2640,안암,하선,10.28,50,22,8.49,19.36,20.13
415,평일,6,2641,고려대,상선,51.77,16.15,21.37,18.26,23.41,8.58
416,평일,6,2641,고려대,하선,8.78,48.05,20.69,7.92,17.75,18.07
417,평일,6,2642,월곡,상선,48.63,14.13,19.64,16.84,21.05,7.6
418,평일,6,2642,월곡,하선,8.4,41.93,18.4,7.98,16.1,15.57
419,평일,6,2643,상월곡,상선,43.6,12.55,17.64,15.1,19.13,7.18
420,평일,6,2643,상월곡,하선,8.65,39.07,17.35,8.03,15.3,14.41
421,평일,6,2644,돌곶이,상선,39.87,12.08,16.54,13.91,18.06,7.14
422,평일,6,2644,돌곶이,하선,9.17,34.85,15.99,7.61,14.07,12.81
423,평일,6,2645,석계,상선,34.97,11.97,15.08,12.43,16.09,6.63
424,평일,6,2645,석계,하선,11.32,32.52,15.7,8.31,14.68,12.18
425,평일,6,2646,태릉입구,상선,32.57,14.03,15.19,12.07,16.53,7.31
426,평일,6,2646,태릉입구,하선,5.58,18.55,8.68,3.97,7.73,6.66
427,평일,6,2647,화랑대,상선,21.28,6.95,8.85,7.56,9.31,3.09
428,평일,6,2647,화랑대,하선,3.42,10.03,4.96,2.5,4.54,3.69
429,평일,6,2648,봉화산,상선,10.55,3.93,4.55,3.79,4.88,1.77
430,평일,6,2648,봉화산,하선,1.42,2.57,1.4,1.3,1.59,0.92
431,평일,6,2649,신내,상선,7.88,4.83,3.8,2.99,5.38,2.01
432,평일,6,2649,신내,하선,2.2,4.07,2.07,1.58,2.88,1.59
433,평일,7,2711,장암,상선,0,0,0,0,0,0
434,평일,7,2711,장암,하선,5.68,1.18,1.77,1.34,2.68,0.71
435,평일,7,2712,도봉산,상선,0.28,0.52,0.29,0.63,0.4,0.2
436,평일,7,2712,도봉산,하선,16.43,6.22,7.99,7.87,10.74,4.03
437,평일,7,2713,수락산,상선,6.02,14.52,8.18,7.16,8.52,7.13
438,평일,7,2713,수락산,하선,23.35,8.37,11.25,11.05,14.63,5.48
439,평일,7,2714,마들,상선,7.88,21.18,11.57,9.55,11.2,10.07
440,평일,7,2714,마들,하선,32.05,9.75,14.68,14.63,17.47,6.4
441,평일,7,2715,노원,상선,9.1,29.02,15.01,10.48,13.92,13.3
442,평일,7,2715,노원,하선,37.48,15.83,20.02,17.77,22.47,11.55
443,평일,7,2716,중계,상선,15.52,38,20.73,13.93,20.03,16.88
444,평일,7,2716,중계,하선,44.78,16.67,22.76,20.66,24.41,12.02
445,평일,7,2717,하계,상선,16.6,43.83,23.13,14.12,21.74,19.69
446,평일,7,2717,하계,하선,52.7,18.47,25.86,24.03,27.24,12.87
447,평일,7,2718,공릉,상선,17.32,51.07,26.17,14.72,23.93,22.83
448,평일,7,2718,공릉,하선,56.67,19.83,27.84,26.02,28.76,13.18
449,평일,7,2719,태릉입구,상선,18.47,54.67,27.92,15.2,25.2,24.87
450,평일,7,2719,태릉입구,하선,56.85,20.87,27.66,25.85,28.55,13.27
451,평일,7,2720,먹골,상선,19.1,54.75,28.35,15.57,25.11,25.08
452,평일,7,2720,먹골,하선,62.28,21.27,29.06,27.16,30.03,13.5
